partida_id,rodata_x,clube,atleta,minuto,tipo_de_gol,rodata_y,mandante,visitante,data,casa_ou_fora
6506,1,Sao Paulo,Éverton Cardoso da Silva,41,,1,Sao Paulo,Botafogo-RJ,27/04/2019,Casa
6506,1,Sao Paulo,Hudson,83,,1,Sao Paulo,Botafogo-RJ,27/04/2019,Casa
6507,1,Atletico-MG,Ricardo Oliveira,53,,1,Atletico-MG,Avai,27/04/2019,Casa
6507,1,Avai,Feliciano Brizuela,46,,1,Atletico-MG,Avai,27/04/2019,Fora
6507,1,Atletico-MG,Fábio Santos,45+2,Penalty,1,Atletico-MG,Avai,27/04/2019,Casa
6508,1,Chapecoense,Everaldo Stum,88,,1,Chapecoense,Internacional,27/04/2019,Casa
6508,1,Chapecoense,Everaldo Stum,45+2,Penalty,1,Chapecoense,Internacional,27/04/2019,Casa
6509,1,Flamengo,Bruno Henrique,67,,1,Flamengo,Cruzeiro,27/04/2019,Casa
6509,1,Flamengo,Gabriel Barbosa,90,,1,Flamengo,Cruzeiro,27/04/2019,Casa
6509,1,Cruzeiro,Pedro Rocha Neves,40,,1,Flamengo,Cruzeiro,27/04/2019,Fora
6509,1,Flamengo,Bruno Henrique,41,,1,Flamengo,Cruzeiro,27/04/2019,Casa
6510,1,Santos,Eduardo Sasha,6,,1,Gremio,Santos,28/04/2019,Fora
6510,1,Santos,Felipe Jonatan,35,,1,Gremio,Santos,28/04/2019,Fora
6510,1,Gremio,Everton Sousa Soares,90+3,,1,Gremio,Santos,28/04/2019,Casa
6513,1,Ceara,Ricardo Bueno,89,,1,Ceara,CSA,28/04/2019,Casa
6513,1,Ceara,Leandro Carvalho,34,,1,Ceara,CSA,28/04/2019,Casa
6513,1,Ceara,João Lucas Cardoso,81,,1,Ceara,CSA,28/04/2019,Casa
6513,1,Ceara,Ricardo Bueno,21,,1,Ceara,CSA,28/04/2019,Casa
6511,1,Bahia,José Rogério de Oliveira Melo,84,,1,Bahia,Corinthians,28/04/2019,Casa
6511,1,Corinthians,Pedrinho,45+2,,1,Bahia,Corinthians,28/04/2019,Fora
6511,1,Bahia,Arthur Caike do Nascimento Cruz,45+4,,1,Bahia,Corinthians,28/04/2019,Casa
6511,1,Corinthians,Clayson Henrique da Silva Vieira,90+5,,1,Bahia,Corinthians,28/04/2019,Fora
6511,1,Bahia,Artur Victor Guimarães,76,,1,Bahia,Corinthians,28/04/2019,Casa
6512,1,Athletico-PR,Marco Ruben,45,,1,Athletico-PR,Vasco,28/04/2019,Casa
6512,1,Athletico-PR,Werley Ananias da Silva,66,Gol Contra,1,Athletico-PR,Vasco,28/04/2019,Casa
6512,1,Athletico-PR,Nikão,86,,1,Athletico-PR,Vasco,28/04/2019,Casa
6512,1,Vasco,Bruno César,89,,1,Athletico-PR,Vasco,28/04/2019,Fora
6512,1,Athletico-PR,Bruno Guimarães,3,,1,Athletico-PR,Vasco,28/04/2019,Casa
6514,1,Palmeiras,José Rafael Vivian,71,,1,Palmeiras,Fortaleza,28/04/2019,Casa
6514,1,Palmeiras,Marcos Rocha,59,,1,Palmeiras,Fortaleza,28/04/2019,Casa
6514,1,Palmeiras,Bruno Henrique Corsini,90+1,,1,Palmeiras,Fortaleza,28/04/2019,Casa
6514,1,Palmeiras,José Rafael Vivian,17,,1,Palmeiras,Fortaleza,28/04/2019,Casa
6515,1,Goias,Rafael Vaz,89,,1,Fluminense,Goias,28/04/2019,Fora
6517,2,Palmeiras,Raphael Cavalcante Veiga,9,,2,CSA,Palmeiras,01/05/2019,Fora
6517,2,CSA,Matheus Sávio,63,,2,CSA,Palmeiras,01/05/2019,Casa
6516,2,Internacional,Paolo Guerrero,5,,2,Internacional,Flamengo,01/05/2019,Casa
6516,2,Internacional,Martín Sarrafiore,77,,2,Internacional,Flamengo,01/05/2019,Casa
6516,2,Flamengo,Giorgian De Arrascaeta,60,,2,Internacional,Flamengo,01/05/2019,Fora
6518,2,Corinthians,Carlos Augusto Zopolato Neves,55,,2,Corinthians,Chapecoense,01/05/2019,Casa
6519,2,Cruzeiro,Thiago Neves,50,,2,Cruzeiro,Ceara,01/05/2019,Casa
6520,2,Avai,Michel Ferreira dos Santos,85,Gol Contra,2,Avai,Gremio,01/05/2019,Casa
6520,2,Gremio,Rômulo Borges Monteiro,45,,2,Avai,Gremio,01/05/2019,Fora
6521,2,Goias,Leandro Barcia Montero,45+2,,2,Goias,Sao Paulo,01/05/2019,Casa
6521,2,Sao Paulo,Alexandre Pato,31,,2,Goias,Sao Paulo,01/05/2019,Fora
6521,2,Sao Paulo,Jonas Toró,36,,2,Goias,Sao Paulo,01/05/2019,Fora
6522,2,Atletico-MG,Elias Mendes Trindade,59,,2,Vasco,Atletico-MG,01/05/2019,Fora
6522,2,Atletico-MG,Yimmi Chará,90,,2,Vasco,Atletico-MG,01/05/2019,Fora
6522,2,Vasco,Maxi López,66,,2,Vasco,Atletico-MG,01/05/2019,Casa
6523,2,Athletico-PR,Léo Pereira,22,,2,Fortaleza,Athletico-PR,01/05/2019,Fora
6523,2,Fortaleza,Edinho,2,,2,Fortaleza,Athletico-PR,01/05/2019,Casa
6523,2,Fortaleza,Wellington Paulista,76,,2,Fortaleza,Athletico-PR,01/05/2019,Casa
6524,2,Santos,Eduardo Sasha,65,,2,Santos,Fluminense,02/05/2019,Casa
6524,2,Santos,Carlos Andrés Sánchez,73,,2,Santos,Fluminense,02/05/2019,Casa
6524,2,Fluminense,Pedro,85,,2,Santos,Fluminense,02/05/2019,Fora
6525,2,Botafogo-RJ,Erik Nascimento de Lima,30,,2,Botafogo-RJ,Bahia,02/05/2019,Casa
6525,2,Bahia,Ernando Rodrigues Lopes,83,,2,Botafogo-RJ,Bahia,02/05/2019,Fora
6525,2,Botafogo-RJ,João Paulo,36,,2,Botafogo-RJ,Bahia,02/05/2019,Casa
6525,2,Botafogo-RJ,Cícero Santos,45+3,,2,Botafogo-RJ,Bahia,02/05/2019,Casa
6525,2,Bahia,Arthur Caike do Nascimento Cruz,6,,2,Botafogo-RJ,Bahia,02/05/2019,Fora
6527,3,Palmeiras,Deyverson,14,,3,Palmeiras,Internacional,04/05/2019,Casa
6526,3,Corinthians,Mateus Vital,17,,3,Vasco,Corinthians,04/05/2019,Fora
6526,3,Vasco,Maxi López,39,Penalty,3,Vasco,Corinthians,04/05/2019,Casa
6528,3,Atletico-MG,Nathan Allan de Souza,26,,3,Ceara,Atletico-MG,04/05/2019,Fora
6528,3,Atletico-MG,Jair Rodrigues Júnior,90+3,,3,Ceara,Atletico-MG,04/05/2019,Fora
6528,3,Ceara,Ricardo Bueno,24,,3,Ceara,Atletico-MG,04/05/2019,Casa
6529,3,Chapecoense,Everaldo Stum,89,,3,Chapecoense,Athletico-PR,05/05/2019,Casa
6529,3,Athletico-PR,Rony,76,,3,Chapecoense,Athletico-PR,05/05/2019,Fora
6531,3,Botafogo-RJ,Alex Paulo Menezes Santana,70,,3,Botafogo-RJ,Fortaleza,05/05/2019,Casa
6533,3,Cruzeiro,Rodrigo Eduardo Costa Marinho,81,,3,Cruzeiro,Goias,05/05/2019,Casa
6533,3,Goias,Michael Richard Delgado de Oliveira,57,,3,Cruzeiro,Goias,05/05/2019,Fora
6533,3,Cruzeiro,Dedé,49,,3,Cruzeiro,Goias,05/05/2019,Casa
6530,3,Sao Paulo,Danilo Neves,83,,3,Sao Paulo,Flamengo,05/05/2019,Casa
6530,3,Flamengo,Orlando Berrío,8,,3,Sao Paulo,Flamengo,05/05/2019,Fora
6534,3,Fluminense,Pedro,72,Penalty,3,Gremio,Fluminense,05/05/2019,Fora
6534,3,Gremio,Jean Pyerre,22,,3,Gremio,Fluminense,05/05/2019,Casa
6534,3,Fluminense,Luciano da Rocha Neves,41,,3,Gremio,Fluminense,05/05/2019,Fora
6534,3,Gremio,Walter Kannemann,84,,3,Gremio,Fluminense,05/05/2019,Casa
6534,3,Fluminense,Matheus Ferraz Pereira,55,,3,Gremio,Fluminense,05/05/2019,Fora
6534,3,Gremio,André Felipe Ribeiro de Souza,6,,3,Gremio,Fluminense,05/05/2019,Casa
6534,3,Fluminense,Yony González,39,,3,Gremio,Fluminense,05/05/2019,Fora
6534,3,Gremio,Everton Sousa Soares,13,,3,Gremio,Fluminense,05/05/2019,Casa
6534,3,Fluminense,Yony González,90+2,,3,Gremio,Fluminense,05/05/2019,Fora
6535,3,Bahia,Artur Victor Guimarães,40,,3,Bahia,Avai,05/05/2019,Casa
6536,4,Botafogo-RJ,Alex Paulo Menezes Santana,72,,4,Fluminense,Botafogo-RJ,11/05/2019,Fora
6538,4,Goias,Jonathan Marlone,21,,4,Goias,Ceara,11/05/2019,Casa
6538,4,Goias,Leandro Barcia Montero,90+1,,4,Goias,Ceara,11/05/2019,Casa
6538,4,Ceara,Thiago Galhardo,77,,4,Goias,Ceara,11/05/2019,Fora
6541,4,Palmeiras,Bruno Henrique Corsini,45,,4,Atletico-MG,Palmeiras,12/05/2019,Fora
6541,4,Palmeiras,Bruno Henrique Corsini,52,,4,Atletico-MG,Palmeiras,12/05/2019,Fora
6539,4,Flamengo,Lincoln Corrêa dos Santos,51,,4,Flamengo,Chapecoense,12/05/2019,Casa
6539,4,Chapecoense,Gum,90+2,,4,Flamengo,Chapecoense,12/05/2019,Fora
6539,4,Flamengo,Victor Vinícius Coelho Santos,8,,4,Flamengo,Chapecoense,12/05/2019,Casa
6542,4,Internacional,Paolo Guerrero,56,,4,Internacional,Cruzeiro,12/05/2019,Casa
6542,4,Internacional,Rodrigo Moledo,83,,4,Internacional,Cruzeiro,12/05/2019,Casa
6542,4,Cruzeiro,Dedé,36,,4,Internacional,Cruzeiro,12/05/2019,Fora
6542,4,Internacional,Gustavo Nonato Santana,32,,4,Internacional,Cruzeiro,12/05/2019,Casa
